inference_time,device,device_details
1.4948029518127441,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2904417514801025,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3888156414031982,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3987815380096436,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3331060409545898,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3101112842559814,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.276946783065796,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2971529960632324,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.3283565044403076,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
1.2781052589416504,gpu,"{'__CUDA VERSION:': '11.8', '__CUDNN VERSION:': 90100, '__Number CUDA Devices:': 1, '__CUDA Device Name:': 'NVIDIA GeForce GTX 1650', '__CUDA Device Total Memory [GB]:': 4.294705152}"
